country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,firstCase
USA,142178,131,2484,0,4559,135135,2970,430,8,"
Jan 20 "
Italy,97689,0,10779,0,13030,73880,3906,1616,178,"
Jan 29 "
Spain,80110,0,6803,0,14709,58598,4165,1713,146,"
Jan 30 "
Germany,62435,0,541,0,9211,52683,1979,745,6,"
Jan 26 "
France,40174,0,2606,0,7202,30366,4632,615,40,"
Jan 23 "
Iran,38309,0,2640,0,12391,23278,3206,456,31,"
Feb 18 "
UK,19522,0,1228,0,135,18159,163,288,18,"
Jan 30 "
Switzerland,14829,0,300,0,1595,12934,301,1713,35,"
Feb 24 "
Netherlands,10866,0,771,0,250,9845,972,634,45,"
Feb 26 "
Belgium,10836,0,431,0,1359,9046,867,935,37,"
Feb 03 "
S. Korea,9661,78,158,6,5228,4275,59,188,3,"
Jan 19 "
Turkey,9217,0,131,0,105,8981,568,109,2,"
Mar 09 "
Austria,8788,0,86,0,479,8223,187,976,10,"
Feb 24 "
Canada,6320,0,65,0,573,5682,120,167,2,"
Jan 24 "
Portugal,5962,0,119,0,43,5800,89,585,12,"
Mar 01 "
Norway,4284,0,26,0,7,4251,91,790,5,"
Feb 25 "
Brazil,4256,0,136,0,6,4114,296,20,0,"
Feb 24 "
Israel,4247,0,15,0,132,4100,74,491,2,"
Feb 20 "
Australia,4163,0,17,0,244,3902,28,163,0,"
Jan 24 "
Sweden,3700,0,110,0,16,3574,255,366,11,"
Jan 30 "
Czechia,2817,0,16,0,11,2790,45,263,1,"
Feb 29 "
Ireland,2615,0,46,0,5,2564,59,530,9,"
Feb 28 "
Malaysia,2470,0,35,0,388,2047,73,76,1,"
Jan 24 "
Denmark,2395,0,72,0,1,2322,113,413,12,"
Feb 26 "
Chile,2139,0,7,0,75,2057,7,112,0,"
Mar 02 "
Luxembourg,1950,0,21,0,40,1889,25,3115,34,"
Feb 28 "
Ecuador,1924,0,58,0,3,1863,58,109,3,"
Feb 28 "
Japan,1866,0,54,0,424,1388,56,15,0,"
Jan 14 "
Poland,1862,0,22,0,7,1833,3,49,0,"
Mar 03 "
Romania,1815,0,43,0,206,1566,31,94,2,"
Feb 25 "
Pakistan,1597,0,14,0,29,1554,11,7,0,"
Feb 25 "
Russia,1534,0,8,0,64,1462,8,11,0,"
Jan 30 "
Philippines,1418,0,71,0,42,1305,1,13,0,"
Jan 29 "
Thailand,1388,0,7,0,229,1152,11,20,0,"
Jan 12 "
Saudi Arabia,1299,0,8,0,66,1225,12,37,0,"
Mar 01 "
Indonesia,1285,0,114,0,64,1107,0,5,0,"
Mar 01 "
South Africa,1280,0,2,0,31,1247,7,22,0,"
Mar 04 "
Finland,1240,0,11,0,10,1219,32,224,2,"
Jan 28 "
Greece,1156,0,39,0,52,1065,66,111,4,"
Feb 25 "
India,1024,0,27,0,95,902,0,0,0,"
Jan 29 "
Iceland,1020,0,2,0,135,883,25,2989,6,"
Feb 27 "
Panama,989,0,24,0,4,961,36,229,6,"
Mar 09 "
Dominican Republic,859,0,39,0,3,817,0,79,4,"
Feb 29 "
Peru,852,0,18,0,16,818,40,26,0,"
Mar 05  "
Mexico,848,0,16,0,35,797,1,7,0,"
Feb 27 "
Singapore,844,0,3,0,212,629,19,144,0,"
Jan 22 "
Argentina,820,0,20,0,91,709,0,18,0,"
Mar 02 "
Serbia,741,0,13,0,42,686,25,85,1,"
Mar 05 "
Slovenia,730,0,11,0,10,709,23,351,5,"
Mar 03 "
Croatia,713,0,6,0,55,652,26,174,1,"
Feb 24 "
Diamond Princess,712,0,10,0,603,99,15,0,0,"
Feb 04 "
Colombia,702,0,10,0,10,682,29,14,0,"
Mar 05 "
Estonia,679,0,3,0,20,656,10,512,2,"
Feb 26 "
Hong Kong,642,0,4,0,118,520,5,86,0,"
Jan 22 "
Qatar,634,0,1,0,48,585,6,220,0,"
Feb 28 "
Egypt,609,0,40,0,132,437,0,6,0,"
Feb 13 "
UAE,570,0,3,0,58,509,2,58,0,"
Jan 28 "
Iraq,547,0,42,0,143,362,0,14,1,"
Feb 21 "
New Zealand,514,0,1,0,63,450,2,107,0,"
Feb 27 "
Algeria,511,0,31,0,31,449,0,12,0,"
Feb 24 "
Bahrain,499,0,4,0,272,223,1,293,2,"
Feb 23 "
Morocco,479,0,26,0,13,440,1,13,0,"
Mar 01 "
Ukraine,475,0,10,0,6,459,0,11,0,"
Mar 02 "
Lithuania,460,0,7,0,1,452,2,169,3,"
Feb 27 "
Lebanon,438,0,10,0,30,398,4,64,1,"
Feb 20 "
Armenia,424,0,3,0,30,391,6,143,1,"
Feb 29 "
Hungary,408,0,13,0,34,361,6,42,1,"
Mar 03 "
Latvia,347,0,0,0,1,346,3,184,0,"
Mar 01 "
Bulgaria,346,0,8,0,14,324,8,50,1,"
Mar 06 "
Andorra,334,0,6,0,1,327,10,4323,78,"
Mar 01 "
Bosnia and Herzegovina,323,0,6,0,8,309,1,98,2,"
Mar 04 "
Costa Rica,314,0,2,0,3,309,6,62,0,"
Mar 04 "
Slovakia,314,0,0,0,2,312,1,58,0,"
Mar 05 "
Tunisia,312,0,8,0,2,302,10,26,0,"
Mar 01 "
Uruguay,304,0,1,0,0,303,9,88,0,"
Mar 12 "
Taiwan,298,0,3,0,39,256,0,13,0,"
Jan 20 "
Kazakhstan,284,0,1,0,20,263,0,15,0,"
Mar 12 "
Moldova,263,0,2,0,2,259,33,65,0,"
Mar 06 "
North Macedonia,259,0,6,0,3,250,1,124,3,"
Feb 25 "
Jordan,259,0,3,0,18,238,3,25,0,"
Mar 01 "
Kuwait,255,0,0,0,67,188,12,60,0,"
Feb 23 "
San Marino,224,0,22,0,6,196,16,6602,648,"
Feb 26 "
Burkina Faso,222,0,12,0,23,187,0,11,0,"
Mar 08 "
Cyprus,214,0,6,0,15,193,3,177,5,"
Mar 08 "
